state,class,party,incfirst,inclast,pronounce,pronounceipa,firstelect,birthyr,gender,race,religion,lgbt,pre16inc,demS16,repS16,demlast,replast,clinton16,trump16,obama12,romney12,obama08,mccain08,cens10white,cens10black,cens10latino,cens10aapi,cens10native,cens10other,acs16ba,acs16barank,acs16whiteba,acs16whitebarank,medinc,incrank,popvote16,hrcvote16,djtvote16,popvote12,bhovote12,mrvote12,popvote08,bhovote08,jmvote08,popHvote16,demHvote16,repHvote16,otherHvote16,poplast,popDlast,popRlast,popOlast,pop,popWhite,popBlack,popLatino,popAAPI,popNative,popOther,vap,vapWhite,vapBlack,vapLatino,vapAAPI,vapNative,vapOther
Vermont,2016,Democratic,Patrick,Leahy,(PAT-truck LAY-hee),/'pí_.t_€Ä_Ä»k 'leÄÈ.hi/,1974,1940,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,61.3,33,64.3,30.9,56.7,30.3,66.6,31,67.5,30.4,95.2,0.8,1.3,1.2,0.3,1.2,36.4,8,36.5,16,57677,20,315067,178573,95369,299290,199239,92698,325046,219262,98974,313809,192243,103637,17929,235178,151281,72699,11198,625741,590223,5943,9208,8015,2023,10329,496508,472559,3840,6328,5993,1619,6169
Washington,2016,Democratic,Patty,Murray,(PATT-ee MER-ee),/'pí_.Ä_i 'mÄìÄ_.i/,1992,1950,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,59,41,52.4,47.6,52.5,36.8,55.8,41,57.3,40.3,76.1,3.3,8.9,7.8,1.3,2.7,35.1,10,36.7,14,67106,10,3316996,1742718,1221747,3145958,1755396,1290670,3053261,1750848,1229216,3243317,1913979,1329338,0,2511094,1314930,1196164,0,6724540,4876804,229603,755790,514417,88735,259191,5143186,3916304,168177,456355,400615,64574,137161
Wisconsin,2016,Republican,Ron,Johnson,(RAHN JAHN-suhn),/Ä_Äïn 'd_ÍÄïn.sÄ»n/,2010,1955,Man,White - Non-Hispanic,Christian - Lutheran,No,Re-elected,46.8,50.2,47,51.9,46.5,47.2,52.8,45.9,56.2,42.3,86.3,5.4,4.6,2,0.8,0.9,29.5,28,30.8,33,56811,24,2976150,1382536,1405284,3068434,1620985,1407966,2983417,1677211,1262393,2948741,1380335,1479471,88935,2171331,1020958,1125999,24374,5686986,4738411,350898,336056,129617,48511,83493,4347494,3753673,234526,199822,87810,34419,37244
Alabama,2014,Democratic,Doug,Jones,(DUHG JOHNZ),/d_ëg _Ío__nz/,2017 Special,1954,Man,White - Non-Hispanic,Christian - Methodist,No,Not Up,,,50,48.3,34.4,62.1,38.4,60.5,38.7,60.3,69.4,24.7,3.2,1.1,0.5,1,24.7,44,27.3,44,46257,46,2123372,729547,1318255,2074338,795696,1255925,2099819,813479,1266546,,,,,1348720,673896,651972,,4779736,3204402,1244437,185602,54913,25907,64475,3647277,2530761,902278,118336,41643,19550,34709
Alaska,2014,Republican,Dan,Sullivan,(DAN SUHL-ih-vuhn),/dí_n 's_ë.lÄÈ.vÄ»n/,2014,1964,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Not Up,,,45.8,48,36.6,51.3,40.8,54.8,37.9,59.4,68.4,3.1,4.7,6.2,13.2,4.5,29.6,26,36.7,14,76440,2,318608,116454,163387,300495,122640,164676,326197,123594,193841,,,,,282400,129431,135445,17524,708570,454831,21862,39038,44357,102124,46358,521588,356564,16051,24290,32158,69054,23471
Arkansas,2014,Republican,Tom,Cotton,(TAHM KAH-tn),/tÄïm 'kÄï._în/,2014,1977,Man,White - Non-Hispanic,Christian - Methodist,No,Not Up,,,39.4,56.5,33.7,60.6,36.9,60.6,38.9,58.7,77.5,14.2,5,1.4,0.7,1.2,22.4,48,24,48,44334,48,1130635,380494,684872,1069468,394409,647744,1086617,422310,638017,,,,,847505,334174,478819,34512,2915918,2173469,447102,186050,41156,20183,47958,2204443,1708907,313887,111094,29961,14876,25718
Colorado,2014,Republican,Cory,Gardner,(CORE-ee GAHRD-ner),/'kÄîÄ_.i 'gÄïÄ_d.nÄ»Ä_/,2010,1974,Man,White - Non-Hispanic,Christian - Lutheran,No,Not Up,,,46.3,48.2,48.2,43.3,51.4,46.1,53.7,44.7,73.9,3.6,17.5,2.8,0.6,1.5,39.9,2,46,1,65685,12,2780247,1338870,1202484,2571846,1323102,1185243,2401462,1288633,1073629,,,,,2041058,944203,983891,112964,5029196,3520793,188778,1038687,141225,31244,108469,3803587,2810513,138811,664462,107443,23946,58412
Delaware,2014,Democratic,Chris,Coons,(KRISS KOONZ),/kÄ_ÄÈs kunz/,2010,1963,Man,White - Non-Hispanic,Christian - Presbyterian,No,Not Up,,,55.8,42.2,53.1,41.7,58.6,40,61.9,36.9,69,19.5,6.7,3.2,0.3,1.3,31,20,33.8,25,61757,15,443814,235603,185127,413921,242584,165484,412616,255459,152374,,,,,234038,130655,98823,4560,897934,586752,186782,73221,28546,2824,19809,692169,477636,134984,46136,21844,2248,9321
Georgia,2014,Republican,David,Perdue,(DAY-vid pur-DOO),/'deÄÈ.vÄÈd pÄ»Ä_.'du/,2014,1949,Man,White - Non-Hispanic,Christian - Methodist,No,Not Up,,,45.2,52.9,45.3,50.4,45.4,53.2,46.9,52.1,59,28.8,7.5,3.3,0.2,1.2,30.5,23,33.9,24,53559,30,4141445,1877963,2089104,3908369,1773827,2078688,3932158,1844123,2048759,,,,,2567805,1160811,1358088,48906,9687653,5413920,2910800,853689,316844,21279,171121,7196101,4242514,2072946,539002,237863,16324,87452
Idaho,2014,Republican,Jim,Risch,(JIM RESH) [Rhymes with mesh],/d_ÍÄÈm Ä_Ä__€/,2008,1943,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Not Up,,,34.7,65.3,27.5,59.2,32.4,64.1,35.9,61.2,86.7,0.5,9,1.4,1.1,1.3,27.6,36,29.4,36,51807,36,690433,189765,409055,656742,212787,420911,658454,236440,403012,,,,,437170,151574,285596,0,1567582,1316243,8875,175901,20682,17556,28325,1138510,986529,5658,102786,15729,12584,15224
