District,Code,Party,Incumbent Name,,Pronunciation Guide,,First Elected,Birth Year,Gender,Race/ Ethnicity,Religion,Openly LGBTQ,Pre-2016 Incumbent,2016 US House,,2014 US House,,2012 Two-Party,,2016 President,,2012 President,,2008 President,,2010 Census Adult Population by Race,,,,,,2016 American Community Survey Income and Education,,,,,,2013-2017 House Specials,,,,2016 President,,,2012 President,,,2008 President,,,2016 House,,,,2014 House,,,,2012 House 2-Party,,Special Elections,,,,Total Population Demographics,,,,,,,Voting Age Population Demographics (18+),,,,,,
,,,First,Last,Phonetic,IPA,,,,,,,,Dem,Rep,Dem,Rep,Dem,Rep,Clinton,Trump,Obama,Romney,Obama,McCain,White,Black,Latino,Asian and Pacific Islander,Native,Other,Bachelor's Degree or Higher Among Age 25+,BA Rank,White BA,White Rank,Median Income (Household),Income Rank,Date,Dem,Rep,,Total,Clinton,Trump,Total,Obama,Romney,Total,Obama,McCain,Total,Dem,Rep,Other,Total,Dem,Rep,Other,Dem,Rep,Total,Dem,Rep,Other,Total,White,Black,Latino, Asian and Pacific Islander,Native American,Other,Total,White,Black,Latino,Asian and Pacific Islander,Native American,Other
Pennsylvania 5th,PA-05,Republican,Glenn,Thompson,(GLENN TAHMP-suhn),/glɛn 'tɑmp.sən/,2008,1959,Man,White - Non-Hispanic,Christian - Protestant,No,Re-elected,32.8,67.2,36.4,63.6,37.1,62.9,33.5,62.3,41.4,57.0,47.1,51.5,93.8,2.3,1.5,1.6,0.1,0.7,25.1 ,290 ,24.8 ,355 ,"$48,410",335,,,,329,"314,143","105,138","195,736","290,085","119,958","165,210","311,074","146,536","160,134","307,833","101,082","206,751",0,"180,857","65,839","115,018",0,"104,725","177,740",,,,,"705,715","661,706","14,428","10,951","10,781",853,"6,996","566,600","531,432","12,791","8,501","9,283",706,"3,887"
Pennsylvania 6th,PA-06,Republican,Ryan,Costello,(RAHY-uhn kah-STELL-oh),/'ɹaɪ.ən kɑ.'stɛ.loʊ/,2014,1976,Man,White - Non-Hispanic,Christian - Presbyterian,No,Re-elected,42.7,57.3,43.7,56.3,42.9,57.1,48.2,47.6,48.1,50.6,53.0,46.0,87.8,3.9,3.9,3.5,0.1,0.8,43.2 ,57 ,43.2 ,107 ,"$82,139",45,,,,330,"368,554","177,639","175,340","344,797","165,916","174,379","351,615","186,460","161,570","360,046","153,632","206,414",0,"212,544","92,901","119,643",0,"143,803","191,725",,,,,"705,799","606,215","28,546","33,699","26,634",677,"10,028","539,084","473,555","20,806","21,155","18,635",528,"4,405"
Pennsylvania 7th,PA-07,Republican,Pat,Meehan,(PATT MEE-in),/pæt 'mi.ɪn/,2010,1955,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,40.5,59.5,38.0,62.0,40.6,59.4,49.3,47.0,48.5,50.4,51.2,47.8,88.2,4.7,2.4,3.8,0.1,0.8,43.4 ,54 ,42.9 ,113 ,"$85,881",36,,,,331,"386,339","190,599","181,455","365,247","177,252","183,955","375,376","192,275","179,384","379,502","153,824","225,678",0,"235,125","89,256","145,869",0,"143,509","209,942",,,,,"705,677","614,128","33,645","19,824","28,353",639,"9,088","541,045","477,360","25,469","12,838","20,671",490,"4,217"
Pennsylvania 8th,PA-08,Republican,Brian,Fitzpatrick,(BRAHY-uhn fitz-PAT-chrik),/'bɹaɪ.ən fɪts.'pæ.tʃɹɪk/,2016,1973,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Open - Retired,45.5,54.5,38.1,61.9,43.4,56.6,48.0,48.2,49.3,49.4,53.2,45.7,88.4,3.1,3.5,4.0,0.1,0.9,39.7 ,82 ,39.9 ,138 ,"$80,199",50,,,,332,"387,025","185,685","186,607","360,589","177,940","178,195","373,060","198,505","170,472","381,024","173,555","207,469",0,"222,498","84,767","137,731",0,"152,859","199,379",,,,,"705,689","612,094","23,508","29,727","29,433",846,"10,081","542,944","479,992","16,607","19,249","21,619",642,"4,835"
Pennsylvania 9th,PA-09,Republican,Bill,Shuster,(BILL SHOO-ster),/bɪl 'ʃu.stəɹ/,2001 Special,1961,Man,White - Non-Hispanic,Christian - Lutheran,No,Re-elected,36.7,63.3,36.5,63.5,38.3,61.7,27.2,69.7,35.9,62.8,40.9,57.9,94.6,2.7,1.4,0.5,0.1,0.7,18.6 ,404 ,18.5 ,423 ,"$47,697",343,,,,333,"305,937","83,263","213,381","281,321","100,907","176,724","294,304","120,433","170,305","294,565","107,985","186,580",0,"173,317","63,223","110,094",0,"105,128","169,177",,,,,"705,769","660,880","19,859","11,910","3,733",846,"8,541","556,989","526,955","15,124","7,539","2,873",686,"3,812"
Pennsylvania 10th,PA-10,Republican,Tom,Marino,(TAHM muh-REE-noh),/tɑm mə.'ɹi.noʊ/,2010,1952,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,29.8,70.2,24.8,62.6,34.4,65.6,30.2,66.1,38.5,60.1,42.3,56.5,92.5,2.9,2.9,0.8,0.2,0.8,22.5 ,345 ,22.4 ,398 ,"$52,199",262,,,,334,"308,952","93,240","204,114","283,294","108,944","170,277","299,936","126,925","169,324","301,105","89,823","211,282",0,"180,322","44,737","112,851","22,734","94,227","179,563",,,,,"705,327","644,796","21,702","23,818","5,414","1,143","8,454","553,619","512,297","16,251","15,785","4,163",935,"4,188"
Pennsylvania 11th,PA-11,Republican,Lou,Barletta,(LOO bar-LET-uh),/lu bɑɹ.'lɛ.ɾə/,2010,1956,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,36.3,63.7,33.7,66.3,41.5,58.5,36.2,60.0,44.6,53.9,47.1,51.7,90.2,4.2,3.5,1.2,0.1,0.8,25.1 ,290 ,25.4 ,346 ,"$53,833",243,,,,335,"319,032","115,482","191,470","292,821","130,502","157,841","308,440","145,211","159,469","313,221","113,800","199,421",0,"184,692","62,228","122,464",0,"118,231","166,967",,,,,"706,322","622,796","31,920","32,000","9,175",791,"9,640","559,032","504,083","23,584","19,573","6,820",631,"4,341"
Pennsylvania 12th,PA-12,Republican,Keith,Rothfus,(KEETH RAHTH-fus),/kiθ 'ɹɑθ.fəs/,2012,1962,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,38.2,61.8,40.7,59.3,48.3,51.7,37.9,58.7,40.9,57.8,44.7,54.1,94.2,2.9,0.9,1.3,0.1,0.6,33.7 ,149 ,33.2 ,220 ,"$60,387",181,,,,336,"363,139","137,482","213,005","346,617","141,918","200,396","360,576","161,241","195,077","359,204","137,353","221,851",0,"215,921","87,928","127,993",0,"163,589","175,352",,,,,"705,698","656,932","21,563","7,890","10,402",602,"8,309","558,549","526,347","16,041","5,132","7,224",455,"3,350"
Pennsylvania 13th,PA-13,Democratic,Brendan,Boyle,(BREN-duhn BOYL),/'bɹɛn.dən bɔɪl/,2014,1977,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,100,0,67.1,32.9,69.1,30.9,65.3,31.7,66.2,32.9,65.4,33.7,66.0,15.5,8.7,8.1,0.1,1.5,35.4 ,127 ,40.3 ,134 ,"$60,105",184,,,,337,"332,645","217,268","105,558","318,212","210,561","104,711","332,609","217,661","112,243","239,316","239,316",0,0,"184,150","123,601","60,549",0,"209,901","93,918",,,,,"705,642","439,009","120,799","72,198","57,780","1,101","14,755","542,293","357,871","84,320","47,441","43,833",784,"8,044"
Pennsylvania 14th,PA-14,Democratic,Mike,Doyle,(MIKE DOYL),/maɪk dɔɪl/,1994,1953,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,74.4,25.6,100,0,76.9,23.1,66.0,30.5,68.0,30.6,67.0,32.0,75.3,18.9,1.6,2.7,0.2,1.4,35.4 ,127 ,37.9 ,159 ,"$44,939",375,,,,338,"350,774","231,552","107,100","339,399","230,750","103,977","366,056","245,432","116,994","343,292","255,293","87,999",0,"148,351","148,351",0,0,"251,932","75,702",,,,,"705,526","504,934","151,511","13,002","17,727","1,089","17,263","576,561","433,956","108,743","9,166","15,481",896,"8,319"
Pennsylvania 15th,PA-15,Republican,Charlie,Dent,(CHAR-lee DENT),/'tʃɑɹ.li dɛnt/,2004,1960,Man,White - Non-Hispanic,Christian - Presbyterian,No,Re-elected,38.0,58.4,0,100.0,43.2,56.8,44.2,51.8,47.9,50.8,52.1,46.6,83.0,3.2,10.4,2.4,0.1,0.9,29.2 ,216 ,31.2 ,247 ,"$62,755",147,,,,339,"334,869","148,080","173,597","307,543","147,234","156,165","318,325","165,836","148,385","326,474","124,129","190,618","11,727","128,285",0,"128,285",0,"128,764","168,960",,,,,"705,554","559,313","25,933","91,664","17,602",797,"10,245","545,594","452,735","17,611","56,793","12,972",588,"4,895"
Pennsylvania 16th,PA-16,Republican,Lloyd,Smucker,(LOYD SMUH-ker),/lɔɪd 'smʌ.kəɹ/,2016,1964,Man,White - Non-Hispanic,Christian - Lutheran,No,Open - Retired,42.9,53.8,42.3,57.7,41.6,58.4,44.2,51.0,46.3,52.4,50.1,49.0,78.5,5.5,13.2,1.7,0.1,0.9,25.1 ,290 ,28.4 ,295 ,"$57,144",208,,,,340,"317,019","140,186","161,763","292,597","135,331","153,189","303,292","152,095","148,489","313,773","134,586","168,669","10,518","176,235","74,513","101,722",0,"111,185","156,192",,,,,"705,612","527,104","40,059","114,018","12,498","1,010","10,923","526,440","413,235","28,925","69,609","9,088",765,"4,818"
Pennsylvania 17th,PA-17,Democratic,Matt,Cartwright,(MATT KART-rite),/mæt 'kɑɹt.ɹaɪt/,2012,1961,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,53.8,46.2,56.8,43.2,60.3,39.7,43.3,53.4,55.4,43.3,56.9,41.9,87.5,4.5,5.5,1.5,0.1,0.9,22.7 ,338 ,23.3 ,387 ,"$51,635",276,,,,341,"306,644","132,700","163,734","281,710","156,019","121,870","306,601","174,446","128,440","293,164","157,734","135,430",0,"165,051","93,680","71,371",0,"161,393","106,208",,,,,"705,386","598,290","35,994","49,022","10,906",940,"10,234","554,815","485,267","25,229","30,461","8,297",719,"4,842"
Pennsylvania 18th,PA-18,Vacant (R),,,,,,,,,,,Re-elected,0,100,0,100.0,36.0,64.0,38.5,58.1,41.0,57.9,43.8,55.2,94.6,2.3,0.9,1.5,0.1,0.6,36.5 ,114 ,36.1 ,182 ,"$63,825",144,13-Mar-18,,,342,"370,497","142,705","215,102","346,855","142,178","200,985","354,760","155,226","195,970","293,684",0,"293,684",0,"166,076",0,"166,076",0,"122,146","216,727",,,,,"705,847","661,140","16,526","7,617","11,727",530,"8,307","560,279","529,932","12,710","5,004","8,633",409,"3,591"
Rhode Island 1st,RI-01,Democratic,David,Cicilline,(DAY-vid sih-sih-LEE-nee),/'deɪ.vɪd ˌsɪ.sɪ.'li.ni/,2010,1961,Man,White - Non-Hispanic,Jewish,Gay,Re-elected,64.5,35.1,59.5,40.2,56.5,43.5,60.5,34.9,66.2,32.2,66.6,31.8,75.7,5.8,11.9,3.0,0.3,3.3,34.2 ,137 ,38.7 ,151 ,"$56,547",212,,,,343,"216,116","130,682","75,510","213,460","141,332","68,685","225,615","150,363","71,764","202,371","130,534","71,023",814,"146,353","87,060","58,877",416,"108,612","83,737",,,,,"525,933","377,374","33,572","75,650","15,533","1,791","22,013","412,614","312,510","23,909","48,985","12,193","1,311","13,706"
Rhode Island 2nd,RI-02,Democratic,Jim,Langevin,(JIM LAN-juh-vin),/dʒɪm 'læn.dʒə.vɪn/,2000,1964,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,58.1,30.7,62.2,37.6,61.3,38.7,51.1,44.0,59.8,38.3,59.9,38.3,83.7,3.2,8.6,2.7,0.4,1.4,34.0 ,141 ,36.5 ,176 ,"$63,976",142,,,,344,"238,589","121,843","105,033","231,208","138,345","88,519","244,152","146,208","93,627","229,148","133,108","70,301","25,739","169,904","105,716","63,844",344,"124,067","78,189",,,,,"526,634","426,311","17,988","55,005","14,760","2,229","10,341","415,997","348,313","13,316","35,730","11,304","1,622","5,712"
South Carolina 1st,SC-01,Republican,Mark,Sanford,(MARK SAN-ferd),/mɑɹk 'sæn.fəɹd/,"2013 Special, 1994-2000",1960,Man,White - Non-Hispanic,Christian - Episcopalian,No,Re-elected,36.8,58.6,0,93.4,36.5,63.5,40.4,53.5,40.2,58.3,42.7,56.1,73.4,17.8,5.5,1.8,0.3,1.2,39.9 ,80 ,45.4 ,90 ,"$64,973",136,7-May-13,45.2,54.0,345,"333,021","134,685","178,052","297,933","119,756","173,550","278,253","118,886","156,066","325,170","119,779","190,410","14,981","127,815",0,"119,392","8,423","103,557","179,908","143,635","64,961","77,600","1,074","650,785","458,423","124,899","41,893","11,245","2,070","12,255","501,866","368,327","89,421","27,654","8,860","1,588","6,016"
South Carolina 2nd,SC-02,Republican,Joe,Wilson,(JOH WILL-suhn),/dʒoʊ 'wɪl.sən/,2001 Special,1947,Man,White - Non-Hispanic,Christian - Presbyterian,No,Re-elected,35.9,60.2,35.3,62.4,0,100,38.6,56.3,39.4,59.1,39.4,59.5,70.5,21.7,4.6,1.7,0.4,1.1,33.5 ,154 ,36.0 ,183 ,"$57,253",203,,,,346,"312,625","120,591","175,985","287,443","113,338","170,005","285,473","112,547","169,885","304,996","109,452","183,746","11,798","194,808","68,719","121,649","4,440",0,"196,116",,,,,"665,499","451,332","154,392","34,563","11,108","2,360","11,744","504,664","356,012","109,536","23,009","8,505","1,834","5,768"
South Carolina 3rd,SC-03,Republican,Jeff,Duncan,(JEFF DUHN-kin),/dʒɛf 'dʌŋ.kɪn/,2010,1966,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,27.1,72.8,28.8,71.2,33.3,66.7,29.0,67.0,33.9,64.5,35.1,63.5,77.0,17.8,3.5,0.8,0.2,0.7,22.0 ,351 ,25.2 ,347 ,"$45,042",371,,,,347,"284,348","82,527","190,540","263,638","89,494","170,173","266,523","93,525","169,190","269,540","72,933","196,325",282,"164,009","47,181","116,741",87,"84,735","169,512",,,,,"660,789","494,909","122,916","27,845","5,225","1,367","8,527","510,519","392,896","90,929","17,740","4,093","1,091","3,770"
South Carolina 4th,SC-04,Republican,Trey,Gowdy,(CHRAY GOW-dee) [OW as in cow],/tʃɹeɪ 'gaʊ.ɾi/,2010,1964,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,31.0,67.2,0,84.8,34.2,65.8,34.5,60.2,36.2,62.2,37.7,60.6,72.6,18.0,6.3,2.0,0.2,0.9,30.7 ,184 ,35.1 ,189 ,"$51,718",272,,,,348,"301,747","103,975","181,634","274,554","99,387","170,679","270,855","102,178","164,088","295,670","91,676","198,648","5,346","149,049",0,"126,452","22,597","89,964","173,201",,,,,"661,218","462,755","124,400","48,816","13,999","1,306","9,942","501,815","364,448","90,394","31,395","10,134","1,014","4,430"
South Carolina 5th,SC-05,Republican,Ralph,Norman,(RALF NOR-muhn),/ɹælf 'nɔɹ.mən/,2017 Special,1953,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,38.7,59.2,41.1,58.9,44.4,55.6,38.8,57.3,43.6,55.1,43.8,55.0,68.2,26.4,3.1,1.0,0.4,0.8,23.0 ,330 ,27.3 ,308 ,"$48,743",327,20-Jun-17,47.9,51.0,349,"306,200","118,791","175,391","286,200","124,832","157,710","274,280","120,264","150,734","273,006","105,772","161,669","5,565","175,145","71,985","103,078",82,"123,443","154,324","88,316","42,341","45,076",899,"660,216","435,695","180,407","24,958","6,535","3,008","9,613","498,138","339,933","131,638","15,457","4,837","2,094","4,179"
South Carolina 6th,SC-06,Democratic,Jim,Clyburn,(JIM KLAHY-bern),/dʒɪm 'kla.bɜɹn/,1992,1940,Man,Black - African-American,Christian - African Methodist Episcopal,No,Re-elected,70.1,27.6,72.5,25.5,100,0,66.8,30.3,70.9,28.1,70.1,28.9,39.1,54.4,4.1,1.1,0.4,0.9,19.6 ,392 ,27.7 ,303 ,"$35,296",430,,,,350,"266,848","178,159","80,741","275,266","195,131","77,299","273,907","191,945","79,266","253,901","177,947","70,099","5,855","173,432","125,747","44,311","3,374","218,717",0,,,,,"665,721","239,031","377,877","31,149","6,676","2,354","8,634","514,995","201,500","279,964","21,343","5,585","1,837","4,766"
South Carolina 7th,SC-07,Republican,Tom,Rice,(TAHM RICE),/tɑm ɹaɪs/,2012,1957,Man,White - Non-Hispanic,Christian - Episcopalian,No,Re-elected,38.9,61.0,40.0,60.0,44.4,55.6,39.1,58.0,44.4,54.5,45.3,53.6,66.8,27.5,3.4,0.8,0.6,0.8,20.1 ,387 ,23.2 ,388 ,"$43,146",390,,,,351,"298,237","116,645","173,046","279,085","124,002","152,230","271,678","123,103","145,666","289,463","112,744","176,468",251,"171,524","68,576","102,833",115,"122,389","153,068",,,,,"661,136","420,595","195,107","26,458","5,632","4,149","9,195","512,893","342,651","141,010","17,578","4,244","3,155","4,255"
South Dakota At-Large,SD-AL,Republican,Kristi,Noem,(KRISS-tee NOHM),/'kɹɪ.sti noʊm/,2010,1971,Woman,White - Non-Hispanic,Christian - Evangelical Protestant,No,Re-elected,35.9,64.1,33.5,66.5,42.6,57.4,31.7,61.5,39.9,57.9,44.7,53.2,87.8,1.0,2.1,0.9,6.9,1.1,28.9 ,221 ,30.9 ,255 ,"$54,467",237,,,,352,"370,047","117,442","227,701","363,809","145,039","210,610","381,975","170,924","203,054","369,973","132,810","237,163",0,"276,319","92,485","183,834",0,"153,789","207,640",,,,,"814,180","689,502","9,959","22,119","7,866","69,476","15,258","611,383","537,069","6,377","12,917","5,759","42,323","6,938"
Tennessee 1st,TN-01,Republican,Phil,Roe,(FILL ROH),/fɪl ɹoʊ/,2008,1945,Man,White - Non-Hispanic,Christian - Methodist,No,Re-elected,15.4,78.4,0,82.8,20.7,79.3,19.7,76.7,25.7,72.7,28.6,69.9,93.7,2.1,2.5,0.6,0.2,0.8,19.4 ,393 ,19.8 ,419 ,"$41,006",408,,,,353,"265,493","52,240","203,668","256,324","65,767","186,310","269,243","77,079","188,237","253,025","39,024","198,293","15,708","139,470",0,"115,533","23,937","47,663","182,252",,,,,"706,717","653,702","15,054","22,775","4,654","1,684","8,848","557,064","521,859","11,541","14,150","3,521","1,390","4,603"
Tennessee 2nd,TN-02,Republican,John (Jimmy),Duncan,(JAHN DUHN-kuhn),/dʒɑn 'dʌŋ.kən/,1988 Special,1947,Man,White - Non-Hispanic,Christian - Presbyterian,No,Re-elected,24.4,75.6,22.6,72.5,21.7,78.3,29.7,65.1,30.9,67.3,34.5,64.0,88.9,5.7,2.8,1.4,0.3,1.0,31.0 ,177 ,30.9 ,255 ,"$50,701",296,,,,354,"290,193","86,214","188,956","276,952","85,525","186,368","294,421","101,603","188,283","280,856","68,401","212,455",0,"166,751","37,612","120,883","8,256","54,522","196,894",,,,,"702,769","613,371","42,845","23,843","9,890","1,771","11,049","549,646","488,678","31,323","15,212","7,504","1,402","5,527"
Tennessee 3rd,TN-03,Republican,Chuck,Fleischmann,(CHUCK FLAHY-shmin),/tʃʌk 'flaɪ.ʃmɪn/,2010,1962,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,28.8,66.4,34.6,62.4,36.6,63.4,30.2,65.4,35.1,63.3,37.3,61.3,84.9,10.1,2.6,1.1,0.3,1.0,22.7 ,338 ,23.5 ,383 ,"$43,938",384,,,,355,"276,457","83,524","180,932","271,565","95,226","171,838","285,533","106,560","175,163","266,006","76,727","176,613","12,666","156,097","53,983","97,344","4,770","91,094","157,830",,,,,"705,326","586,894","75,983","22,228","7,957","1,929","10,335","550,020","466,957","55,693","14,272","6,054","1,567","5,477"
Tennessee 4th,TN-04,Republican,Scott,DesJarlais,(SKAHT DAY-zher-lay),/skɑt 'deɪ.ʒəɹ.leɪ/,2010,1964,Man,White - Non-Hispanic,Christian - Episcopalian,No,Re-elected,35.0,65.0,35.3,58.3,44.2,55.8,27.4,68.6,33.1,65.3,35.8,62.6,85.2,7.7,4.4,1.5,0.3,1.0,22.6 ,343 ,23.0 ,392 ,"$50,598",300,,,,356,"276,582","75,831","189,613","260,182","86,133","169,977","272,380","97,643","170,600","254,937","89,141","165,796",0,"145,418","51,357","84,815","9,246","102,022","128,568",,,,,"706,861","586,940","56,789","38,525","10,760","2,088","11,759","534,051","454,758","41,181","23,364","7,807","1,650","5,291"
Tennessee 5th,TN-05,Democratic,Jim,Cooper,(JIM KOO-per) [Rhymes with Booker],/dʒɪm 'kʊ.pəɹ/,"2002, 1982-1994",1954,Man,White - Non-Hispanic,Christian - Episcopalian,No,Re-elected,62.6,37.4,62.3,35.7,66.6,33.4,56.5,38.2,55.9,42.5,57.5,41.3,65.0,23.1,7.5,2.7,0.3,1.4,37.5 ,98 ,43.6 ,102 ,"$54,470",236,,,,357,"276,959","156,608","105,776","273,794","152,939","116,229","296,073","170,190","122,232","273,544","171,111","102,433",0,"154,276","96,148","55,078","3,050","171,621","86,240",,,,,"702,181","429,033","174,518","63,349","19,481","1,684","14,116","547,011","355,749","126,434","41,046","14,934","1,419","7,429"
Tennessee 6th,TN-06,Republican,Diane,Black,(DIE-ann BLACK),/'daɪ.æn blæk/,2010,1951,Woman,White - Non-Hispanic,Christian - Lutheran,No,Re-elected,21.8,71.1,23.0,71.1,0,100,23.7,72.6,29.5,69.1,33.5,64.9,91.5,3.8,2.9,0.7,0.3,0.8,21.9 ,352 ,21.9 ,401 ,"$50,731",295,,,,358,"297,967","70,549","216,461","278,928","82,297","192,662","289,881","97,072","188,258","284,490","61,995","202,234","20,261","162,097","37,232","115,231","9,634",0,"184,383",,,,,"708,141","638,135","28,183","25,490","5,357","1,970","9,006","539,694","493,996","20,355","15,497","3,880","1,570","4,396"
Tennessee 7th,TN-07,Republican,Marsha,Blackburn,(MAR-shuh BLACK-burn),/'mɑɹ.ʃə 'blæk.bəɹn/,2002,1952,Woman,White - Non-Hispanic,Christian - Presbyterian,No,Re-elected,23.5,72.2,26.8,70.0,25.2,74.8,28.2,67.5,32.9,65.7,36.3,62.4,84.3,9.4,3.3,1.5,0.3,1.2,28.1 ,234 ,28.8 ,286 ,"$53,276",250,,,,359,"291,561","82,313","196,848","279,796","92,042","183,757","285,870","103,884","178,286","277,513","65,226","200,407","11,880","157,907","42,280","110,534","5,093","61,679","182,730",,,,,"703,960","581,125","67,578","28,766","10,908","2,182","13,401","522,321","440,345","49,038","17,362","7,856","1,709","6,011"
Tennessee 8th,TN-08,Republican,David,Kustoff,(DAY-vid KUSS-tawf),/'deɪ.vɪd 'kʌs.tɔf/,2016,1966,Man,White - Non-Hispanic,Jewish,No,Open - Retired,25.1,68.8,24.6,70.8,29.4,70.6,30.7,66.3,32.9,66.1,34.9,64.1,76.7,18.6,2.2,1.5,0.2,0.8,27.6 ,247 ,28.9 ,284 ,"$54,145",241,,,,360,"296,672","91,025","196,702","305,053","100,213","201,645","316,873","110,590","203,070","282,733","70,925","194,386","17,422","172,595","42,433","122,255","7,907","79,490","190,923",,,,,"704,834","526,413","137,108","18,977","11,644","1,579","9,113","533,039","408,794","99,058","11,720","8,185","1,232","4,050"
Tennessee 9th,TN-09,Democratic,Steve,Cohen,(STEEV KOH-wuhn),/stiv 'koʊ.ən/,2006,1949,Man,White - Non-Hispanic,Jewish,No,Re-elected,78.7,18.9,75.0,23.3,75.9,24.1,77.5,19.8,78.4,20.9,77.0,22.5,30.2,61.1,5.7,1.8,0.2,0.9,24.1 ,306 ,38.2 ,156 ,"$39,761",418,,,,361,"222,353","172,391","43,970","255,982","200,568","53,544","289,475","222,816","65,047","217,957","171,631","41,123","5,203","116,550","87,376","27,173","2,001","188,422","59,742",,,,,"705,316","185,169","451,333","46,106","12,427","1,415","8,866","517,258","156,441","316,030","29,383","9,564","1,066","4,774"
Texas 1st,TX-01,Republican,Louie,Gohmert,(LOO-ee GOH-mert),/'lu.i 'goʊ.məɹt/,2004,1953,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,24.1,73.9,22.5,77.5,27.4,72.6,25.3,72.2,27.5,71.6,30.5,69.0,68.3,17.2,12.3,0.9,0.4,0.9,20.9 ,369 ,24.7 ,360 ,"$45,313",367,,,,362,"262,492","66,389","189,604","254,055","69,858","181,835","258,800","78,918","178,520","260,409","62,847","192,434","5,128","148,560","33,476","115,084",0,"67,222","178,322",,,,,"697,653","449,361","122,388","108,031","6,394","2,514","8,965","523,109","357,220","90,056","64,595","4,739","1,984","4,515"
Texas 2nd,TX-02,Republican,Ted,Poe,(TED POH),/tɛd poʊ/,2004,1948,Man,White - Non-Hispanic,Christian - Restorationist,No,Re-elected,36.0,60.6,29.6,67.9,33.5,66.5,43.1,52.4,35.6,62.9,37.4,61.9,54.3,9.2,27.8,7.3,0.3,1.2,40.8 ,74 ,49.9 ,62 ,"$72,711",78,,,,363,"277,873","119,659","145,530","249,569","88,751","157,094","243,439","91,087","150,665","278,236","100,231","168,692","9,313","150,026","44,462","101,936","3,628","80,512","159,664",,,,,"723,642","362,572","69,835","226,797","50,935","1,709","11,794","535,783","291,002","49,043","148,729","39,188","1,350","6,471"
Texas 3rd,TX-03,Republican,Sam,Johnson,(SAM JAHN-suhn),/sæm 'dʒɑn.sən/,1991 Special,1930,Man,White - Non-Hispanic,Christian - Methodist,No,Re-elected,34.6,61.2,0,82.0,0,100,40.6,54.8,34.2,64.3,37.5,61.7,65.3,8.1,12.8,11.8,0.4,1.6,53.5 ,20 ,55.0 ,38 ,"$88,619",31,,,,364,"318,536","129,384","174,561","272,664","93,290","175,383","267,545","100,440","165,158","316,467","109,420","193,684","13,363","138,280",0,"113,404","24,876",0,"187,180",,,,,"701,227","437,406","58,722","101,226","84,802","2,789","16,282","501,350","327,172","40,578","63,967","59,405","1,993","8,235"
Texas 4th,TX-04,Republican,John,Ratcliffe,(JAHN RAT-kliff),/dʒɑn 'ɹæt.klɪf/,2014,1965,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,0,88.0,0,100.0,24.8,75.2,21.8,75.4,24.8,74.0,29.4,69.9,77.1,10.3,9.8,0.9,0.8,1.1,22.1 ,350 ,24.3 ,368 ,"$52,481",258,,,,365,"279,188","60,841","210,587","256,123","63,559","189,554","258,577","75,910","180,772","246,220",0,"216,643","29,577","115,085",0,"115,085",0,"60,214","182,679",,,,,"704,405","519,963","74,839","85,956","6,406","5,385","11,856","526,203","405,741","54,297","51,330","4,837","4,022","5,976"
Texas 5th,TX-05,Republican,Jeb,Hensarling,(JEB HEN-ser-ling),/dʒɛb 'hɛn.səɹ.lɪŋg/,2002,1957,Man,White - Non-Hispanic,Christian - Episcopalian,No,Re-elected,0,80.6,0,85.4,34.0,66.0,34.3,62.7,34.4,64.5,37.4,61.9,62.5,13.3,20.9,1.8,0.4,1.0,21.1 ,365 ,26.0 ,334 ,"$50,536",303,,,,366,"232,735","79,759","145,841","212,669","73,085","137,239","222,316","83,216","137,698","192,875",0,"155,469","37,406","104,262",0,"88,998","15,264","69,178","134,091",,,,,"687,716","395,476","94,652","172,350","12,674","2,883","9,681","503,906","314,945","67,157","105,195","9,294","2,250","5,065"
Texas 6th,TX-06,Republican,Joe,Barton,(JOH BAR-tn),/dʒoʊ 'bɑɹ.ʔn/,1984,1949,Man,White - Non-Hispanic,Christian - Methodist,No,Re-elected,39.0,58.3,36.4,61.1,40.3,59.7,41.9,54.2,40.8,57.9,42.3,57.1,58.5,17.0,17.9,4.9,0.4,1.3,28.7 ,224 ,32.2 ,234 ,"$65,758",132,,,,367,"274,848","115,272","148,945","253,795","103,444","146,985","259,993","109,854","148,503","273,296","106,667","159,444","7,185","150,996","55,027","92,334","3,635","98,053","145,019",,,,,"694,650","374,470","125,770","145,387","33,268","2,590","13,165","499,013","292,050","84,755","89,103","24,578","1,956","6,571"
