chamber,member,member_short,party,district,trump_score,trump_margin,predicted_score,trump_plus_minus
House,Brian K. Fitzpatrick,Fitzpatrick,R,PA-8,81.4,0.2,66,15.4
House,Devin Nunes,Nunes,R,CA-22,98.2,9.5,83,15.2
House,Thomas MacArthur,MacArthur,R,NJ-3,93.2,6.2,78.4,14.8
House,Michael R. Turner,Turner,R,OH-10,94.9,7.3,80.3,14.6
House,Dave Brat,Brat,R,VA-7,93.1,6.5,78.7,14.4
House,J. Luis Correa,Correa,D,CA-46,28.8,-38.4,15,13.8
House,Vern Buchanan,Buchanan,R,FL-16,98.2,10.7,84.8,13.4
House,Patrick J. Tiberi,Tiberi,R,OH-12,98.2,11.3,85.6,12.6
House,Lamar Smith,Smith,R,TX-21,96.5,10,84.3,12.2
House,Dennis A. Ross,Ross,R,FL-15,96.4,10,84.3,12.2
House,Susan W. Brooks,Brooks,R,IN-5,98.3,11.8,86.2,12.1
House,Ken Calvert,Calvert,R,CA-42,98.3,12,86.4,11.9
House,Brian J. Mast,Mast,R,FL-18,94.9,9.2,83.1,11.8
House,Ted Poe,Poe,R,TX-2,94.6,9.3,82.9,11.7
House,Mark E. Amodei,Amodei,R,NV-2,98.3,12.3,86.6,11.7
House,John R. Carter,Carter,R,TX-31,98.3,12.7,87.1,11.2
House,Jaime Herrera Beutler,Herrera Beutler,R,WA-3,91.5,7.4,80.4,11.1
House,Cathy McMorris Rodgers,McMorris Rodgers,R,WA-5,98.3,13.1,87.5,10.8
House,Greg Gianforte,Gianforte,R,MT-AL,96,20.4,85.5,10.5
House,Charles W. Dent,Dent,R,PA-15,91.4,7.6,80.8,10.5
House,Ann Wagner,Wagner,R,MO-2,94.8,10.3,84.4,10.4
House,Ted Budd,Budd,R,NC-13,94.8,9.4,84.8,10
House,Bruce Poliquin,Poliquin,R,ME-2,94.8,10.3,84.8,10
House,Robert Pittenger,Pittenger,R,NC-9,96.4,11.6,86.5,10
House,J. French Hill,Hill,R,AR-2,94.8,10.7,85.1,9.7
House,Tom Reed,Reed,R,NY-23,98.2,14.8,88.6,9.6
House,George Holding,Holding,R,NC-2,93.2,9.6,83.6,9.6
House,Mike Bost,Bost,R,IL-12,98.3,14.8,88.9,9.4
House,"Earl L. ""Buddy"" Carter",Carter,R,GA-1,98.1,15.5,89,9.2
House,Paul Cook,Cook,R,CA-8,98.3,15.1,89.1,9.2
House,David Schweikert,Schweikert,R,AZ-6,93.2,10,84.1,9.1
House,David P. Joyce,Joyce,R,OH-14,94.9,11.5,85.9,9
House,Steve Stivers,Stivers,R,OH-15,98.2,15.4,89.3,9
House,Gene Green,G. Green,D,TX-29,23.2,-45.7,14.6,8.6
House,Scott R. Tipton,Tipton,R,CO-3,94.9,12,86.4,8.5
House,Rick W. Allen,Allen,R,GA-12,98.3,16.2,89.9,8.4
House,Scott H. Peters,Peters,D,CA-52,29.3,-22.5,21.2,8.1
House,Tim Walberg,Walberg,R,MI-7,98.3,17,90.4,7.9
House,Bradley Scott Schneider,Schneider,D,IL-10,25.4,-29.4,17.6,7.8
House,Adam Kinzinger,Kinzinger,R,IL-16,98.3,17.2,90.5,7.8
House,Bill Flores,Flores,R,TX-17,98.3,17.5,90.6,7.7
House,Joe Wilson,Wilson,R,SC-2,98.3,17.7,90.8,7.5
House,Beto O’Rourke,O’Rourke,D,TX-16,22,-40.7,14.6,7.4
House,Claudia Tenney,Tenney,R,NY-22,96.6,15.5,89.4,7.2
House,Stevan Pearce,Pearce,R,NM-2,91.5,10.2,84.4,7.1
House,Tom Rice,Rice,R,SC-7,98.3,18.9,91.3,7
House,Doug LaMalfa,LaMalfa,R,CA-1,98.3,19.7,91.5,6.7
House,Jimmy Panetta,Panetta,D,CA-20,20.3,-47.2,13.8,6.5
House,Joe Barton,Barton,R,TX-6,93.1,12.3,86.6,6.5
House,Greg Walden,Walden,R,OR-2,98.3,20.1,91.8,6.5
House,Bill Huizenga,Huizenga,R,MI-2,96.6,17.6,90.6,6
House,Roger Williams,Williams,R,TX-25,94.9,14.9,89,5.9
House,Kevin McCarthy,McCarthy,R,CA-23,98.3,22,92.4,5.9
House,Albio Sires,Sires,D,NJ-8,19.6,-54.2,14,5.6
House,Andy Barr,Barr,R,KY-6,94.9,15.3,89.3,5.6
House,Lou Barletta,Barletta,R,PA-11,98.2,23.8,92.7,5.6
House,Gerald E. Connolly,Connolly,D,VA-11,20.3,-39.4,14.8,5.5
House,Harold Rogers,Rogers,R,KY-5,98.3,62.1,92.8,5.5
House,Chris Collins,Collins,R,NY-27,98.2,24.5,92.8,5.5
House,Robert B. Aderholt,Aderholt,R,AL-4,98.3,63,92.9,5.4
House,Steve Russell,Russell,R,OK-5,93.1,13.4,87.7,5.4
House,David Scott,D. Scott,D,GA-13,19.6,-44.4,14.2,5.4
House,Michael K. Simpson,Simpson,R,ID-2,98.2,24.7,92.8,5.4
House,Gregg Harper,Harper,R,MS-3,98.3,24.5,93,5.3
House,Patrick T. McHenry,McHenry,R,NC-10,98.3,24.5,93,5.3
House,K. Michael Conaway,Conaway,R,TX-11,98.3,58.7,93.1,5.3
House,John R. Moolenaar,Moolenaar,R,MI-4,98.3,24.8,93.1,5.2
House,Randy K. Weber Sr.,Weber,R,TX-14,96.4,19.8,91.3,5.1
House,Mike Kelly,Kelly,R,PA-3,98.3,26.1,93.2,5.1
House,Dan Newhouse,Newhouse,R,WA-4,98.2,22.8,93.1,5.1
House,Tom Graves,Graves,R,GA-14,98.3,52.9,93.2,5.1
House,Trey Gowdy,Gowdy,R,SC-4,98.3,25.7,93.2,5.1
