"","district","distlong","party","incfirst","inclast","pronounce","pronounceipa","firstelect","birthyr","gender","race","religion","lgbt","pre16inc","demH16","repH16","demH14","repH14","dem2p12","rep2p12","clinton16","trump16","obama12","romney12","obama08","mccain08","cens10white","cens10black","cens10latino","cens10aapi","cens10native","cens10other","acs16ba","acs16barank","acs16whiteba","acs16whitebarank","medinc","incrank","popvote16","hrcvote16","djtvote16","popvote12","bhovote12","mrvote12","popvote08","bhovote08","jmvote08","popHvote16","demHvote16","repHvote16","otherHvote16","popHvote14","demHvote14","repHvote14","otherHvote14","demH2p12","repH2p12","pop","popWhite","popBlack","popLatino","popAAPI","popNative","popOther","vap","vapWhite","vapBlack","vapLatino","vapAAPI","vapNative","vapOther","land.area","popdens"
"328","PA-04","Pennsylvania 4th","Republican","Scott","Perry","(SKAHT PAIR-ee)","/skÄït 'pÄ_.Ä_i/","2012",1962,"Man","White - Non-Hispanic","Christian - United Brethren","No","Re-elected",33.9,66.1,"25.5",74.5,"36.6",63.4,37.1,58.6,41.5,57.1,45.1,53.8,85.6,6.7,4.8,1.8,0.2,1,26.7,260,27.3,308,61333,167,338687,125762,198571,311373,129239,177711,321232,144854,172940,334000,113372,220628,0,197340,50250,147090,0,104643,181603,705669,585038,51773,42341,13446,1052,12019,544246,465985,36227,25895,9954,839,5346,1517.84,464.916591999157
"329","PA-05","Pennsylvania 5th","Republican","Glenn","Thompson","(GLENN TAHMP-suhn)","/glÄ_n 'tÄïmp.sÄ»n/","2008",1959,"Man","White - Non-Hispanic","Christian - Protestant","No","Re-elected",32.8,67.2,"36.4",63.6,"37.1",62.9,33.5,62.3,41.4,57,47.1,51.5,93.8,2.3,1.5,1.6,0.1,0.7,25.1,290,24.8,355,48410,335,314143,105138,195736,290085,119958,165210,311074,146536,160134,307833,101082,206751,0,180857,65839,115018,0,104725,177740,705715,661706,14428,10951,10781,853,6996,566600,531432,12791,8501,9283,706,3887,10711.21,65.8856469063719
"330","PA-06","Pennsylvania 6th","Republican","Ryan","Costello","(RAHY-uhn kah-STELL-oh)","/'Ä_aÄÈ.Ä»n kÄï.'stÄ_.lo__/","2014",1976,"Man","White - Non-Hispanic","Christian - Presbyterian","No","Re-elected",42.7,57.3,"43.7",56.3,"42.9",57.1,48.2,47.6,48.1,50.6,53,46,87.8,3.9,3.9,3.5,0.1,0.8,43.2,57,43.2,107,82139,45,368554,177639,175340,344797,165916,174379,351615,186460,161570,360046,153632,206414,0,212544,92901,119643,0,143803,191725,705799,606215,28546,33699,26634,677,10028,539084,473555,20806,21155,18635,528,4405,860.47,820.248236428928
"331","PA-07","Pennsylvania 7th","Republican","Pat","Meehan","(PATT MEE-in)","/pí_t 'mi.ÄÈn/","2010",1955,"Man","White - Non-Hispanic","Christian - Roman Catholic","No","Re-elected",40.5,59.5,"38",62,"40.6",59.4,49.3,47,48.5,50.4,51.2,47.8,88.2,4.7,2.4,3.8,0.1,0.8,43.4,54,42.9,113,85881,36,386339,190599,181455,365247,177252,183955,375376,192275,179384,379502,153824,225678,0,235125,89256,145869,0,143509,209942,705677,614128,33645,19824,28353,639,9088,541045,477360,25469,12838,20671,490,4217,862.56,818.119319235763
"332","PA-08","Pennsylvania 8th","Republican","Brian","Fitzpatrick","(BRAHY-uhn fitz-PAT-chrik)","/'bÄ_aÄÈ.Ä»n fÄÈts.'pí_.t_€Ä_ÄÈk/","2016",1973,"Man","White - Non-Hispanic","Christian - Roman Catholic","No","Open - Retired",45.5,54.5,"38.1",61.9,"43.4",56.6,48,48.2,49.3,49.4,53.2,45.7,88.4,3.1,3.5,4,0.1,0.9,39.7,82,39.9,138,80199,50,387025,185685,186607,360589,177940,178195,373060,198505,170472,381024,173555,207469,0,222498,84767,137731,0,152859,199379,705689,612094,23508,29727,29433,846,10081,542944,479992,16607,19249,21619,642,4835,706.93,998.244522088467
"333","PA-09","Pennsylvania 9th","Republican","Bill","Shuster","(BILL SHOO-ster)","/bÄÈl '_€u.stÄ»Ä_/","2001 Special",1961,"Man","White - Non-Hispanic","Christian - Lutheran","No","Re-elected",36.7,63.3,"36.5",63.5,"38.3",61.7,27.2,69.7,35.9,62.8,40.9,57.9,94.6,2.7,1.4,0.5,0.1,0.7,18.6,404,18.5,423,47697,343,305937,83263,213381,281321,100907,176724,294304,120433,170305,294565,107985,186580,0,173317,63223,110094,0,105128,169177,705769,660880,19859,11910,3733,846,8541,556989,526955,15124,7539,2873,686,3812,5730.09,123.168920557967
"334","PA-10","Pennsylvania 10th","Republican","Tom","Marino","(TAHM muh-REE-noh)","/tÄïm mÄ».'Ä_i.no__/","2010",1952,"Man","White - Non-Hispanic","Christian - Roman Catholic","No","Re-elected",29.8,70.2,"24.8",62.6,"34.4",65.6,30.2,66.1,38.5,60.1,42.3,56.5,92.5,2.9,2.9,0.8,0.2,0.8,22.5,345,22.4,398,52199,262,308952,93240,204114,283294,108944,170277,299936,126925,169324,301105,89823,211282,0,180322,44737,112851,22734,94227,179563,705327,644796,21702,23818,5414,1143,8454,553619,512297,16251,15785,4163,935,4188,8378.06,84.1873894433795
"335","PA-11","Pennsylvania 11th","Republican","Lou","Barletta","(LOO bar-LET-uh)","/lu bÄïÄ_.'lÄ_.Ä_Ä»/","2010",1956,"Man","White - Non-Hispanic","Christian - Roman Catholic","No","Re-elected",36.3,63.7,"33.7",66.3,"41.5",58.5,36.2,60,44.6,53.9,47.1,51.7,90.2,4.2,3.5,1.2,0.1,0.8,25.1,290,25.4,346,53833,243,319032,115482,191470,292821,130502,157841,308440,145211,159469,313221,113800,199421,0,184692,62228,122464,0,118231,166967,706322,622796,31920,32000,9175,791,9640,559032,504083,23584,19573,6820,631,4341,3356.48,210.435337019735
"336","PA-12","Pennsylvania 12th","Republican","Keith","Rothfus","(KEETH RAHTH-fus)","/ki‘Ÿ 'Ä_Äï‘Ÿ.fÄ»s/","2012",1962,"Man","White - Non-Hispanic","Christian - Roman Catholic","No","Re-elected",38.2,61.8,"40.7",59.3,"48.3",51.7,37.9,58.7,40.9,57.8,44.7,54.1,94.2,2.9,0.9,1.3,0.1,0.6,33.7,149,33.2,220,60387,181,363139,137482,213005,346617,141918,200396,360576,161241,195077,359204,137353,221851,0,215921,87928,127993,0,163589,175352,705698,656932,21563,7890,10402,602,8309,558549,526347,16041,5132,7224,455,3350,2163.03,326.254374650375
"337","PA-13","Pennsylvania 13th","Democratic","Brendan","Boyle","(BREN-duhn BOYL)","/'bÄ_Ä_n.dÄ»n bÄîÄÈl/","2014",1977,"Man","White - Non-Hispanic","Christian - Roman Catholic","No","Re-elected",100,0,"67.1",32.9,"69.1",30.9,65.3,31.7,66.2,32.9,65.4,33.7,66,15.5,8.7,8.1,0.1,1.5,35.4,127,40.3,134,60105,184,332645,217268,105558,318212,210561,104711,332609,217661,112243,239316,239316,0,0,184150,123601,60549,0,209901,93918,705642,439009,120799,72198,57780,1101,14755,542293,357871,84320,47441,43833,784,8044,155.18,4547.248356747
"338","PA-14","Pennsylvania 14th","Democratic","Mike","Doyle","(MIKE DOYL)","/maÄÈk dÄîÄÈl/","1994",1953,"Man","White - Non-Hispanic","Christian - Roman Catholic","No","Re-elected",74.4,25.6,"100",0,"76.9",23.1,66,30.5,68,30.6,67,32,75.3,18.9,1.6,2.7,0.2,1.4,35.4,127,37.9,159,44939,375,350774,231552,107100,339399,230750,103977,366056,245432,116994,343292,255293,87999,0,148351,148351,0,0,251932,75702,705526,504934,151511,13002,17727,1089,17263,576561,433956,108743,9166,15481,896,8319,209.29,3371.04496153662
"339","PA-15","Pennsylvania 15th","Republican","Charlie","Dent","(CHAR-lee DENT)","/'t_€ÄïÄ_.li dÄ_nt/","2004",1960,"Man","White - Non-Hispanic","Christian - Presbyterian","No","Re-elected",38,58.4,"0",100,"43.2",56.8,44.2,51.8,47.9,50.8,52.1,46.6,83,3.2,10.4,2.4,0.1,0.9,29.2,216,31.2,247,62755,147,334869,148080,173597,307543,147234,156165,318325,165836,148385,326474,124129,190618,11727,128285,0,128285,0,128764,168960,705554,559313,25933,91664,17602,797,10245,545594,452735,17611,56793,12972,588,4895,1285.03,549.056442262048
"340","PA-16","Pennsylvania 16th","Republican","Lloyd","Smucker","(LOYD SMUH-ker)","/lÄîÄÈd 'sm_ë.kÄ»Ä_/","2016",1964,"Man","White - Non-Hispanic","Christian - Lutheran","No","Open - Retired",42.9,53.8,"42.3",57.7,"41.6",58.4,44.2,51,46.3,52.4,50.1,49,78.5,5.5,13.2,1.7,0.1,0.9,25.1,290,28.4,295,57144,208,317019,140186,161763,292597,135331,153189,303292,152095,148489,313773,134586,168669,10518,176235,74513,101722,0,111185,156192,705612,527104,40059,114018,12498,1010,10923,526440,413235,28925,69609,9088,765,4818,997.68,707.252826557614
"341","PA-17","Pennsylvania 17th","Democratic","Matt","Cartwright","(MATT KART-rite)","/mí_t 'kÄïÄ_t.Ä_aÄÈt/","2012",1961,"Man","White - Non-Hispanic","Christian - Roman Catholic","No","Re-elected",53.8,46.2,"56.8",43.2,"60.3",39.7,43.3,53.4,55.4,43.3,56.9,41.9,87.5,4.5,5.5,1.5,0.1,0.9,22.7,338,23.3,387,51635,276,306644,132700,163734,281710,156019,121870,306601,174446,128440,293164,157734,135430,0,165051,93680,71371,0,161393,106208,705386,598290,35994,49022,10906,940,10234,554815,485267,25229,30461,8297,719,4842,1733.22,406.980071773924
"342","PA-18","Pennsylvania 18th","Vacant (R)","","","","","",NA,"","","","","Re-elected",0,100,"0",100,"36",64,38.5,58.1,41,57.9,43.8,55.2,94.6,2.3,0.9,1.5,0.1,0.6,36.5,114,36.1,182,63825,144,370497,142705,215102,346855,142178,200985,354760,155226,195970,293684,0,293684,0,166076,0,166076,0,122146,216727,705847,661140,16526,7617,11727,530,8307,560279,529932,12710,5004,8633,409,3591,2072.79,340.529913787697
"343","RI-01","Rhode Island 1st","Democratic","David","Cicilline","(DAY-vid sih-sih-LEE-nee)","/'deÄÈ.vÄÈd èësÄÈ.sÄÈ.'li.ni/","2010",1961,"Man","White - Non-Hispanic","Jewish","Gay","Re-elected",64.5,35.1,"59.5",40.2,"56.5",43.5,60.5,34.9,66.2,32.2,66.6,31.8,75.7,5.8,11.9,3,0.3,3.3,34.2,137,38.7,151,56547,212,216116,130682,75510,213460,141332,68685,225615,150363,71764,202371,130534,71023,814,146353,87060,58877,416,108612,83737,525933,377374,33572,75650,15533,1791,22013,412614,312510,23909,48985,12193,1311,13706,268.49,1958.85507840143
"344","RI-02","Rhode Island 2nd","Democratic","Jim","Langevin","(JIM LAN-juh-vin)","/d_ÍÄÈm 'lí_n.d_ÍÄ».vÄÈn/","2000",1964,"Man","White - Non-Hispanic","Christian - Roman Catholic","No","Re-elected",58.1,30.7,"62.2",37.6,"61.3",38.7,51.1,44,59.8,38.3,59.9,38.3,83.7,3.2,8.6,2.7,0.4,1.4,34,141,36.5,176,63976,142,238589,121843,105033,231208,138345,88519,244152,146208,93627,229148,133108,70301,25739,169904,105716,63844,344,124067,78189,526634,426311,17988,55005,14760,2229,10341,415997,348313,13316,35730,11304,1622,5712,765.32,688.122615376574
"345","SC-01","South Carolina 1st","Republican","Mark","Sanford","(MARK SAN-ferd)","/mÄïÄ_k 'sí_n.fÄ»Ä_d/","2013 Special, 1994-2000",1960,"Man","White - Non-Hispanic","Christian - Episcopalian","No","Re-elected",36.8,58.6,"0",93.4,"36.5",63.5,40.4,53.5,40.2,58.3,42.7,56.1,73.4,17.8,5.5,1.8,0.3,1.2,39.9,80,45.4,90,64973,136,333021,134685,178052,297933,119756,173550,278253,118886,156066,325170,119779,190410,14981,127815,0,119392,8423,103557,179908,650785,458423,124899,41893,11245,2070,12255,501866,368327,89421,27654,8860,1588,6016,1547.86,420.441771219619
"346","SC-02","South Carolina 2nd","Republican","Joe","Wilson","(JOH WILL-suhn)","/d_Ío__ 'wÄÈl.sÄ»n/","2001 Special",1947,"Man","White - Non-Hispanic","Christian - Presbyterian","No","Re-elected",35.9,60.2,"35.3",62.4,"0",100,38.6,56.3,39.4,59.1,39.4,59.5,70.5,21.7,4.6,1.7,0.4,1.1,33.5,154,36,183,57253,203,312625,120591,175985,287443,113338,170005,285473,112547,169885,304996,109452,183746,11798,194808,68719,121649,4440,0,196116,665499,451332,154392,34563,11108,2360,11744,504664,356012,109536,23009,8505,1834,5768,3022.17,220.205680024618
"347","SC-03","South Carolina 3rd","Republican","Jeff","Duncan","(JEFF DUHN-kin)","/d_ÍÄ_f 'd_ëÅ†.kÄÈn/","2010",1966,"Man","White - Non-Hispanic","Christian - Southern Baptist","No","Re-elected",27.1,72.8,"28.8",71.2,"33.3",66.7,29,67,33.9,64.5,35.1,63.5,77,17.8,3.5,0.8,0.2,0.7,22,351,25.2,347,45042,371,284348,82527,190540,263638,89494,170173,266523,93525,169190,269540,72933,196325,282,164009,47181,116741,87,84735,169512,660789,494909,122916,27845,5225,1367,8527,510519,392896,90929,17740,4093,1091,3770,5268.28,125.427843622587
"348","SC-04","South Carolina 4th","Republican","Trey","Gowdy","(CHRAY GOW-dee) [OW as in cow]","/t_€Ä_eÄÈ 'ga__.Ä_i/","2010",1964,"Man","White - Non-Hispanic","Christian - Southern Baptist","No","Re-elected",31,67.2,"0",84.8,"34.2",65.8,34.5,60.2,36.2,62.2,37.7,60.6,72.6,18,6.3,2,0.2,0.9,30.7,184,35.1,189,51718,272,301747,103975,181634,274554,99387,170679,270855,102178,164088,295670,91676,198648,5346,149049,0,126452,22597,89964,173201,661218,462755,124400,48816,13999,1306,9942,501815,364448,90394,31395,10134,1014,4430,1299.3,508.903255599169
"349","SC-05","South Carolina 5th","Republican","Ralph","Norman","(RALF NOR-muhn)","/Ä_í_lf 'nÄîÄ_.mÄ»n/","2017 Special",1953,"Man","White - Non-Hispanic","Christian - Roman Catholic","No","Re-elected",38.7,59.2,"41.1",58.9,"44.4",55.6,38.8,57.3,43.6,55.1,43.8,55,68.2,26.4,3.1,1,0.4,0.8,23,330,27.3,308,48743,327,306200,118791,175391,286200,124832,157710,274280,120264,150734,273006,105772,161669,5565,175145,71985,103078,82,123443,154324,660216,435695,180407,24958,6535,3008,9613,498138,339933,131638,15457,4837,2094,4179,5505.54,119.918482110747
"350","SC-06","South Carolina 6th","Democratic","Jim","Clyburn","(JIM KLAHY-bern)","/d_ÍÄÈm 'kla.bÄìÄ_n/","1992",1940,"Man","Black - African-American","Christian - African Methodist Episcopal","No","Re-elected",70.1,27.6,"72.5",25.5,"100",0,66.8,30.3,70.9,28.1,70.1,28.9,39.1,54.4,4.1,1.1,0.4,0.9,19.6,392,27.7,303,35296,430,266848,178159,80741,275266,195131,77299,273907,191945,79266,253901,177947,70099,5855,173432,125747,44311,3374,218717,0,665721,239031,377877,31149,6676,2354,8634,514995,201500,279964,21343,5585,1837,4766,8062.93,82.5656430106673
"351","SC-07","South Carolina 7th","Republican","Tom","Rice","(TAHM RICE)","/tÄïm Ä_aÄÈs/","2012",1957,"Man","White - Non-Hispanic","Christian - Episcopalian","No","Re-elected",38.9,61,"40",60,"44.4",55.6,39.1,58,44.4,54.5,45.3,53.6,66.8,27.5,3.4,0.8,0.6,0.8,20.1,387,23.2,388,43146,390,298237,116645,173046,279085,124002,152230,271678,123103,145666,289463,112744,176468,251,171524,68576,102833,115,122389,153068,661136,420595,195107,26458,5632,4149,9195,512893,342651,141010,17578,4244,3155,4255,5354.62,123.470199565982
"352","SD-AL","South Dakota At-Large","Republican","Kristi","Noem","(KRISS-tee NOHM)","/'kÄ_ÄÈ.sti no__m/","2010",1971,"Woman","White - Non-Hispanic","Christian - Evangelical Protestant","No","Re-elected",35.9,64.1,"33.5",66.5,"42.6",57.4,31.7,61.5,39.9,57.9,44.7,53.2,87.8,1,2.1,0.9,6.9,1.1,28.9,221,30.9,255,54467,237,370047,117442,227701,363809,145039,210610,381975,170924,203054,369973,132810,237163,0,276319,92485,183834,0,153789,207640,814180,689502,9959,22119,7866,69476,15258,611383,537069,6377,12917,5759,42323,6938,75811,10.7396024323647
"353","TN-01","Tennessee 1st","Republican","Phil","Roe","(FILL ROH)","/fÄÈl Ä_o__/","2008",1945,"Man","White - Non-Hispanic","Christian - Methodist","No","Re-elected",15.4,78.4,"0",82.8,"20.7",79.3,19.7,76.7,25.7,72.7,28.6,69.9,93.7,2.1,2.5,0.6,0.2,0.8,19.4,393,19.8,419,41006,408,265493,52240,203668,256324,65767,186310,269243,77079,188237,253025,39024,198293,15708,139470,0,115533,23937,47663,182252,706717,653702,15054,22775,4654,1684,8848,557064,521859,11541,14150,3521,1390,4603,4141.92,170.625458724456
"354","TN-02","Tennessee 2nd","Republican","John (Jimmy)","Duncan","(JAHN DUHN-kuhn)","/d_ÍÄïn 'd_ëÅ†.kÄ»n/","1988 Special",1947,"Man","White - Non-Hispanic","Christian - Presbyterian","No","Re-elected",24.4,75.6,"22.6",72.5,"21.7",78.3,29.7,65.1,30.9,67.3,34.5,64,88.9,5.7,2.8,1.4,0.3,1,31,177,30.9,255,50701,296,290193,86214,188956,276952,85525,186368,294421,101603,188283,280856,68401,212455,0,166751,37612,120883,8256,54522,196894,702769,613371,42845,23843,9890,1771,11049,549646,488678,31323,15212,7504,1402,5527,2320.68,302.828912215385
"355","TN-03","Tennessee 3rd","Republican","Chuck","Fleischmann","(CHUCK FLAHY-shmin)","/t_€_ëk 'flaÄÈ._€mÄÈn/","2010",1962,"Man","White - Non-Hispanic","Christian - Roman Catholic","No","Re-elected",28.8,66.4,"34.6",62.4,"36.6",63.4,30.2,65.4,35.1,63.3,37.3,61.3,84.9,10.1,2.6,1.1,0.3,1,22.7,338,23.5,383,43938,384,276457,83524,180932,271565,95226,171838,285533,106560,175163,266006,76727,176613,12666,156097,53983,97344,4770,91094,157830,705326,586894,75983,22228,7957,1929,10335,550020,466957,55693,14272,6054,1567,5477,4570.32,154.327486915577
"356","TN-04","Tennessee 4th","Republican","Scott","DesJarlais","(SKAHT DAY-zher-lay)","/skÄït 'deÄÈ._ÍÄ»Ä_.leÄÈ/","2010",1964,"Man","White - Non-Hispanic","Christian - Episcopalian","No","Re-elected",35,65,"35.3",58.3,"44.2",55.8,27.4,68.6,33.1,65.3,35.8,62.6,85.2,7.7,4.4,1.5,0.3,1,22.6,343,23,392,50598,300,276582,75831,189613,260182,86133,169977,272380,97643,170600,254937,89141,165796,0,145418,51357,84815,9246,102022,128568,706861,586940,56789,38525,10760,2088,11759,534051,454758,41181,23364,7807,1650,5291,5984.84,118.108587698251
"357","TN-05","Tennessee 5th","Democratic","Jim","Cooper","(JIM KOO-per) [Rhymes with Booker]","/d_ÍÄÈm 'k__.pÄ»Ä_/","2002, 1982-1994",1954,"Man","White - Non-Hispanic","Christian - Episcopalian","No","Re-elected",62.6,37.4,"62.3",35.7,"66.6",33.4,56.5,38.2,55.9,42.5,57.5,41.3,65,23.1,7.5,2.7,0.3,1.4,37.5,98,43.6,102,54470,236,276959,156608,105776,273794,152939,116229,296073,170190,122232,273544,171111,102433,0,154276,96148,55078,3050,171621,86240,702181,429033,174518,63349,19481,1684,14116,547011,355749,126434,41046,14934,1419,7429,1248.57,562.388172068847
"358","TN-06","Tennessee 6th","Republican","Diane","Black","(DIE-ann BLACK)","/'daÄÈ.í_n blí_k/","2010",1951,"Woman","White - Non-Hispanic","Christian - Lutheran","No","Re-elected",21.8,71.1,"23",71.1,"0",100,23.7,72.6,29.5,69.1,33.5,64.9,91.5,3.8,2.9,0.7,0.3,0.8,21.9,352,21.9,401,50731,295,297967,70549,216461,278928,82297,192662,289881,97072,188258,284490,61995,202234,20261,162097,37232,115231,9634,0,184383,708141,638135,28183,25490,5357,1970,9006,539694,493996,20355,15497,3880,1570,4396,6474.21,109.378750457585
"359","TN-07","Tennessee 7th","Republican","Marsha","Blackburn","(MAR-shuh BLACK-burn)","/'mÄïÄ_._€Ä» 'blí_k.bÄ»Ä_n/","2002",1952,"Woman","White - Non-Hispanic","Christian - Presbyterian","No","Re-elected",23.5,72.2,"26.8",70,"25.2",74.8,28.2,67.5,32.9,65.7,36.3,62.4,84.3,9.4,3.3,1.5,0.3,1.2,28.1,234,28.8,286,53276,250,291561,82313,196848,279796,92042,183757,285870,103884,178286,277513,65226,200407,11880,157907,42280,110534,5093,61679,182730,703960,581125,67578,28766,10908,2182,13401,522321,440345,49038,17362,7856,1709,6011,9160.44,76.8478370034627
"360","TN-08","Tennessee 8th","Republican","David","Kustoff","(DAY-vid KUSS-tawf)","/'deÄÈ.vÄÈd 'k_ës.tÄîf/","2016",1966,"Man","White - Non-Hispanic","Jewish","No","Open - Retired",25.1,68.8,"24.6",70.8,"29.4",70.6,30.7,66.3,32.9,66.1,34.9,64.1,76.7,18.6,2.2,1.5,0.2,0.8,27.6,247,28.9,284,54145,241,296672,91025,196702,305053,100213,201645,316873,110590,203070,282733,70925,194386,17422,172595,42433,122255,7907,79490,190923,704834,526413,137108,18977,11644,1579,9113,533039,408794,99058,11720,8185,1232,4050,6850.53,102.8875138128
"361","TN-09","Tennessee 9th","Democratic","Steve","Cohen","(STEEV KOH-wuhn)","/stiv 'ko__.Ä»n/","2006",1949,"Man","White - Non-Hispanic","Jewish","No","Re-elected",78.7,18.9,"75",23.3,"75.9",24.1,77.5,19.8,78.4,20.9,77,22.5,30.2,61.1,5.7,1.8,0.2,0.9,24.1,306,38.2,156,39761,418,222353,172391,43970,255982,200568,53544,289475,222816,65047,217957,171631,41123,5203,116550,87376,27173,2001,188422,59742,705316,185169,451333,46106,12427,1415,8866,517258,156441,316030,29383,9564,1066,4774,483.39,1459.10341546164
"362","TX-01","Texas 1st","Republican","Louie","Gohmert","(LOO-ee GOH-mert)","/'lu.i 'go__.mÄ»Ä_t/","2004",1953,"Man","White - Non-Hispanic","Christian - Southern Baptist","No","Re-elected",24.1,73.9,"22.5",77.5,"27.4",72.6,25.3,72.2,27.5,71.6,30.5,69,68.3,17.2,12.3,0.9,0.4,0.9,20.9,369,24.7,360,45313,367,262492,66389,189604,254055,69858,181835,258800,78918,178520,260409,62847,192434,5128,148560,33476,115084,0,67222,178322,697653,449361,122388,108031,6394,2514,8965,523109,357220,90056,64595,4739,1984,4515,7858.86,88.7727991082676
"363","TX-02","Texas 2nd","Republican","Ted","Poe","(TED POH)","/tÄ_d po__/","2004",1948,"Man","White - Non-Hispanic","Christian - Restorationist","No","Re-elected",36,60.6,"29.6",67.9,"33.5",66.5,43.1,52.4,35.6,62.9,37.4,61.9,54.3,9.2,27.8,7.3,0.3,1.2,40.8,74,49.9,62,72711,78,277873,119659,145530,249569,88751,157094,243439,91087,150665,278236,100231,168692,9313,150026,44462,101936,3628,80512,159664,723642,362572,69835,226797,50935,1709,11794,535783,291002,49043,148729,39188,1350,6471,308.75,2343.77975708502
"364","TX-03","Texas 3rd","Republican","Sam","Johnson","(SAM JAHN-suhn)","/sí_m 'd_ÍÄïn.sÄ»n/","1991 Special",1930,"Man","White - Non-Hispanic","Christian - Methodist","No","Re-elected",34.6,61.2,"0",82,"0",100,40.6,54.8,34.2,64.3,37.5,61.7,65.3,8.1,12.8,11.8,0.4,1.6,53.5,20,55,38,88619,31,318536,129384,174561,272664,93290,175383,267545,100440,165158,316467,109420,193684,13363,138280,0,113404,24876,0,187180,701227,437406,58722,101226,84802,2789,16282,501350,327172,40578,63967,59405,1993,8235,480.88,1458.21618699052
"365","TX-04","Texas 4th","Republican","John","Ratcliffe","(JAHN RAT-kliff)","/d_ÍÄïn 'Ä_í_t.klÄÈf/","2014",1965,"Man","White - Non-Hispanic","Christian - Roman Catholic","No","Re-elected",0,88,"0",100,"24.8",75.2,21.8,75.4,24.8,74,29.4,69.9,77.1,10.3,9.8,0.9,0.8,1.1,22.1,350,24.3,368,52481,258,279188,60841,210587,256123,63559,189554,258577,75910,180772,246220,0,216643,29577,115085,0,115085,0,60214,182679,704405,519963,74839,85956,6406,5385,11856,526203,405741,54297,51330,4837,4022,5976,10122.99,69.5846780447279
"366","TX-05","Texas 5th","Republican","Jeb","Hensarling","(JEB HEN-ser-ling)","/d_ÍÄ_b 'hÄ_n.sÄ»Ä_.lÄÈÅ†g/","2002",1957,"Man","White - Non-Hispanic","Christian - Episcopalian","No","Re-elected",0,80.6,"0",85.4,"34",66,34.3,62.7,34.4,64.5,37.4,61.9,62.5,13.3,20.9,1.8,0.4,1,21.1,365,26,334,50536,303,232735,79759,145841,212669,73085,137239,222316,83216,137698,192875,0,155469,37406,104262,0,88998,15264,69178,134091,687716,395476,94652,172350,12674,2883,9681,503906,314945,67157,105195,9294,2250,5065,5043.85,136.347433012481
"367","TX-06","Texas 6th","Republican","Joe","Barton","(JOH BAR-tn)","/d_Ío__ 'bÄïÄ_._în/","1984",1949,"Man","White - Non-Hispanic","Christian - Methodist","No","Re-elected",39,58.3,"36.4",61.1,"40.3",59.7,41.9,54.2,40.8,57.9,42.3,57.1,58.5,17,17.9,4.9,0.4,1.3,28.7,224,32.2,234,65758,132,274848,115272,148945,253795,103444,146985,259993,109854,148503,273296,106667,159444,7185,150996,55027,92334,3635,98053,145019,694650,374470,125770,145387,33268,2590,13165,499013,292050,84755,89103,24578,1956,6571,2148.41,323.332138651375
"368","TX-07","Texas 7th","Republican","John","Culberson","(JAHN KUHL-ber-suhn)","/d_ÍÄïn 'k_ël.bÄ»Ä_.sÄ»n/","2000",1956,"Man","White - Non-Hispanic","Christian - Methodist","No","Re-elected",43.8,56.2,"34.5",63.3,"37.5",62.5,48.5,47.1,38.6,59.9,40.5,58.8,50.9,10.7,27.1,9.6,0.2,1.5,50.7,26,61.5,22,71183,87,257308,124722,121204,239767,92499,143631,239081,96866,140692,255533,111991,143542,0,143219,49478,90606,3135,85553,142793,699182,330675,77731,211163,65030,1331,13252,519856,264568,55558,141108,49973,1018,7631,161.94,4317.53735951587
"369","TX-08","Texas 8th","Republican","Kevin","Brady","(KEH-vin BRAY-dee)","/'kÄ_.vÄÈn 'bÄ_eÄÈ.Ä_i/","1996",1955,"Man","White - Non-Hispanic","Christian - Roman Catholic","No","Re-elected",0,100,"0",89.3,"20.8",79.2,23.9,72.7,21.7,77,26.2,73.2,71.8,8.3,16.6,2,0.4,1,30.2,197,32.5,228,64861,139,295099,70532,214605,254167,55273,195742,234270,61357,171408,236379,0,236379,0,140013,0,125066,14947,51051,194043,694659,476580,56090,135278,14239,2551,9921,513910,368897,42412,85144,10386,1961,5110,6053.76,114.748354741516
"370","TX-09","Texas 9th","Democratic","Al","Green","(AL GREEN)","/í_l gÄ_in/","2004",1947,"Man","Black - African-American","Christian - Southern Baptist","No","Re-elected",80.6,19.4,"90.8",0,"79.9",20.1,79.3,18,78,21.1,76.2,23.4,13.9,38.2,34,12.5,0.2,1.2,23.8,315,44.5,95,46048,361,191042,151559,34447,186267,145332,39392,189937,144707,44520,188523,152032,36491,0,86003,78109,0,7894,144075,36139,696349,79829,268321,259715,77370,1053,10061,499324,69338,190957,169698,62363,772,6196,165.64,4203.99058198503
"371","TX-10","Texas 10th","Republican","Michael","McCaul","(MY-kuhl muh-KAWL)","/'maÄÈ.kÄ»l mÄ».'kÄîl/","2004",1962,"Man","White - Non-Hispanic","Christian - Roman Catholic","No","Re-elected",38.4,57.3,"34.1",62.2,"37.5",62.5,43.2,52.3,38.8,59.1,42.7,56.4,61.8,9.5,22.8,4.4,0.3,1.2,38.7,89,45.5,89,73476,76,315133,135984,164912,270136,104839,159714,264035,112866,148867,312600,120170,179221,13209,176460,60243,109726,6491,95710,159783,689685,397326,67060,181716,30551,1905,11127,507359,313669,48316,115513,22404,1487,5970,5070.95,136.007059821138
