"","district","distlong","party","incfirst","inclast","pronounce","pronounceipa","firstelect","birthyr","gender","race","religion","lgbt","pre16inc","demH16","repH16","demH14","repH14","dem2p12","rep2p12","clinton16","trump16","obama12","romney12","obama08","mccain08","cens10white","cens10black","cens10latino","cens10aapi","cens10native","cens10other","acs16ba","acs16barank","acs16whiteba","acs16whitebarank","medinc","incrank","popvote16","hrcvote16","djtvote16","popvote12","bhovote12","mrvote12","popvote08","bhovote08","jmvote08","popHvote16","demHvote16","repHvote16","otherHvote16","popHvote14","demHvote14","repHvote14","otherHvote14","demH2p12","repH2p12","pop","popWhite","popBlack","popLatino","popAAPI","popNative","popOther","vap","vapWhite","vapBlack","vapLatino","vapAAPI","vapNative","vapOther","land.area","popdens"
"31","CA-10","California 10th","Republican","Jeff","Denham","(JEFF DEN-um)","/d_ÍÄ_f 'dÄ_n.Ä»m","2010",1967,"Man","White - Non-Hispanic","Christian - Presbyterian","No","Re-elected",48.3,51.7,"43.9",56.1,"47.3",52.7,48.5,45.5,50.6,47,51.4,48.6,51.8,3.3,34.8,6.9,0.6,2.6,16.6,415,21,411,60235,182,239680,116335,109145,215113,108923,101160,216202,111201,105001,241141,116470,124671,0,125705,55123,70582,0,98934,110265,704763,327195,22872,282246,46451,3772,22227,501640,259974,16522,174810,34451,3016,12867,1818.79,387.490034583432
"32","CA-11","California 11th","Democratic","Mark","DeSaulnier","(MARK duh-SOWN-yay)","/mÄïÄ_k dÄ».'so__n.jeÄÈ/","2014",1952,"Man","White - Non-Hispanic","Christian - Roman Catholic","No","Re-elected",72.1,27.9,"67.3",32.7,"69.7",30.3,71.5,22.7,67.6,30,70.7,29.3,52.3,8.8,22.1,13.7,0.3,2.8,43.6,53,56.5,35,86000,35,312568,223559,70869,301134,203699,90226,306269,216612,89657,298209,214868,83341,0,174662,117502,57160,0,200743,87136,703454,340992,62761,180136,90522,1750,27293,536843,280764,47427,118732,73394,1419,15107,493.61,1425.12104698041
"33","CA-12","California 12th","Democratic","Nancy","Pelosi","(NANN-see puh-LOW-see)","/'ní_n.si pÄ».'lo__.si/","1986",1940,"Woman","White - Non-Hispanic","Christian - Roman Catholic","No","Re-elected",80.9,0,"83.3",16.7,"85.1",14.9,86.2,8.7,84.1,12.5,86.8,13.2,46.3,5.6,13.5,31.5,0.2,2.9,59.5,8,78.1,2,105918,9,358774,309221,31158,320387,269461,40003,331972,288054,43918,338845,274035,0,64810,192264,160067,32197,0,253709,44478,704634,309837,41248,103420,223176,1649,25304,614229,284283,34401,83033,193448,1507,17557,38.97,18081.4472671286
"34","CA-13","California 13th","Democratic","Barbara","Lee","(BAR-bruh LEE)","/'bÄïÄ_.bÄ_Ä» li/","1998 Special",1946,"Woman","Black - African-American","Christian - Baptist","No","Re-elected",90.8,9.2,"88.5",11.5,"100",0,87.4,6.8,87.5,9,89.7,10.3,37.4,19,18,22.1,0.3,3.4,47.2,34,70.8,7,73601,74,334194,291926,22743,306314,268093,27474,313400,281187,32213,322871,293117,29754,0,190431,168491,21940,0,250436,0,702076,240266,134641,146220,148205,2015,30729,561936,210024,106546,100941,123914,1673,18838,96.79,7253.60057857217
"35","CA-14","California 14th","Democratic","Jackie","Speier","(JACK-ee SPEAR)","/'d_Íí_.ki spÄÈÄ»Ä_/","2008 Special",1950,"Woman","White - Non-Hispanic","Christian - Roman Catholic","No","Re-elected",80.9,19.1,"76.7",23.3,"78.9",21.1,76.9,18.2,74.2,23.6,75,25,39.3,3.4,22,32.4,0.2,2.7,47.5,32,56.9,32,103850,10,297743,229008,54229,269882,200343,63589,266330,199653,66677,286447,231630,54817,0,149146,114389,34757,0,203828,54455,702860,259361,22764,171572,221935,1118,26110,553566,217820,19000,121763,179300,930,14753,259.5,2708.51637764933
"36","CA-15","California 15th","Democratic","Eric","Swalwell","(AIR-ick SWAWL-well)","/'Ä_.Ä_ÄÈk 'swÄîl.wÄ_l/","2012",1980,"Man","White - Non-Hispanic","Christian - Protestant","No","Re-elected",73.8,26.2,"69.8",30.2,"100",0,69.9,24.2,68,29.8,69,31,41,6.5,21,28.1,0.3,3.2,45,43,47.1,79,106291,8,284536,198964,68808,260611,177243,77748,264100,182142,81958,269197,198578,70619,0,142904,99756,43148,0,231034,0,703021,264503,45726,164646,196110,1912,30124,525308,215417,33904,110392,147403,1477,16715,599.45,1172.77671198599
"37","CA-16","California 16th","Democratic","Jim","Costa","(JIM KAH-stuh)","/d_ÍÄÈm 'kÄï.stÄ»/","2004",1952,"Man","White - Portuguese-American","Christian - Roman Catholic","No","Re-elected",58,42,"50.7",49.3,"57.4",42.6,58,36.4,58.6,39.4,59.4,40.6,30.2,6.1,52.9,8.5,0.7,1.7,12.2,431,21.3,405,40207,417,169964,98504,61813,151953,88973,59808,148138,88039,60099,167956,97473,70483,0,91220,46277,44943,0,84649,62801,703467,176602,40783,408115,60491,4226,13250,478738,144747,28987,253034,40776,3203,7991,2839.51,247.742392173297
"38","CA-17","California 17th","Democratic","Ro","Khanna","(ROH KAHN-uh)","/Ä_o__ 'kÄï.nÄ»/","2016",1976,"Man","Asian - Indian","Hindu","No","Defeated",100,0,"100",0,"73.5",26.5,73.9,20.5,71.9,25.5,71.2,28.8,30,2.4,15.6,49.3,0.2,2.5,57,11,54.4,41,121150,2,248695,183801,50926,227806,163862,58193,233223,166096,67127,233192,233192,0,0,134408,134408,0,0,159392,57336,705190,188718,16705,122990,350699,1365,24713,539199,161494,12808,84268,265956,944,13729,184.85,3814.93102515553
"39","CA-18","California 18th","Democratic","Anna","Eshoo","(ANN-uh EH-shoo)","/'í_.nÄ» 'Ä_._€u/","1992",1942,"Woman","White - Non-Hispanic","Christian - Roman Catholic","No","Re-elected",71.1,28.9,"67.8",32.2,"70.5",29.5,73.4,20.2,68.2,28.9,71.8,28.2,61.1,2,15,19.2,0.2,2.5,61.5,4,65.1,14,125790,1,335138,246015,67808,319615,218082,92457,322807,231779,91028,323930,230460,93470,0,196386,133060,63326,0,212831,89103,701054,406641,13065,119163,134007,1444,26734,541587,331125,10594,81120,104146,1195,13407,696.12,1007.08785841522
"40","CA-19","California 19th","Democratic","Zoe","Lofgren","(ZOH LAWF-gren)","/zo__ 'lÄîf.gÄ_Ä_n/","1994",1947,"Woman","White - Non-Hispanic","Christian - Lutheran","No","Re-elected",73.9,26.1,"100",0,"73.2",26.8,72.9,21.5,71.2,26.5,69.9,30.1,30.4,3,37.2,27,0.3,2.1,35.5,126,48.8,71,93139,24,257624,187828,55371,232442,165530,61643,227548,159069,68479,245863,181802,64061,0,127788,127788,0,0,162300,59313,700886,189148,19865,290200,181245,1917,18511,521393,158639,15729,193759,140784,1517,10965,915.34,765.711101885638
